,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,categories,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80119,9vH3pJlBjfhi8HFlX9EB1w,Mi Salon,"1221 State St, Ste 4",Santa Barbara,CA,93101,34.42381,-119.70528,4.5,110,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{'straightperms': False, 'coloring': True, 'extensions': False, 'africanamerican': False, 'curly': True, 'kids': True, 'perms': False, 'asian': True},NA,NA,NA,NA,"Beauty & Spas, Permanent Makeup, Waxing, Hair Removal, Nail Salons, Makeup Artists, Hair Salons",0:0-0:0,9:0-13:30,9:0-17:0,9:0-17:0,9:0-17:0,9:0-14:30,NA,,,,,,,,,,,,,,,,,,
80243,SjRaS5u0GR1vLgs5-4EH8Q,Johnson Family Dental,"7050 Hollister Ave, Ste 101",Goleta,CA,93117,34.43046,-119.87379,4,35,1,FALSE,TRUE,NA,NA,NA,NA,NA,NA,u'free',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health & Medical, Cosmetic Dentists, Dentists, Prosthodontists, General Dentistry, Orthodontists",8:0-17:0,9:0-18:0,8:0-17:0,8:0-17:0,8:0-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80269,DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,201 S Milpas St,Santa Barbara,CA,93103,34.41982,-119.67615,4.5,26,0,NA,FALSE,NA,1,NA,TRUE,FALSE,NA,'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,FALSE,TRUE,FALSE,NA,'none',TRUE,'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},FALSE,TRUE,NA,'quiet',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Bakeries, Food, Mexican",5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,,,,,,,,,,,,
80270,JjmmSW_QQh2Db4fuIEMATA,Persona Pizzeria,905 State St,Santa Barbara,CA,93101,34.42061,-119.70095,4,624,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,TRUE,u'free',{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,u'beer_and_wine',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},FALSE,TRUE,NA,u'average',{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Food, Italian, Pizza, Fast Food, Gelato, Chicken Wings, Sandwiches, Salad, Restaurants",11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,11:30-21:0,11:30-21:0,11:30-20:0,,,,,,,,,,,,
80277,rKh6GLHoyK7A044sVf6Jsw,Mission Harbor Behavioral Health,"403 E Montecito St, Ste A",Santa Barbara,CA,93101,34.41977,-119.6885,4,5,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,u'free',{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rehabilitation Center, Fitness & Instruction, Naturopathic/Holistic, Yoga, Health & Medical, Doctors, Counseling & Mental Health, Meditation Centers, Active Life",9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,,,,,
80310,DLTwr11KNMA1hEN7OrkY2A,Mac's Fish and Chip Shop,503 State St,Santa Barbara,CA,93101,34.41685,-119.69581,3.5,459,0,NA,TRUE,TRUE,2,NA,TRUE,FALSE,FALSE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,FALSE,TRUE,FALSE,NA,u'beer_and_wine',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},FALSE,TRUE,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seafood, Restaurants, Fish & Chips, British",11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,11:30-22:0,11:30-22:0,11:30-20:0,,,,,,,,,,,,,,,,,
80311,n67s7eDowWHlfhVtCElxGQ,Belcampo Meat Co Restaurant,"38 W Victoria St, Ste 115",Santa Barbara,CA,93101,34.4236,-119.70663,4,33,0,NA,TRUE,TRUE,2,NA,TRUE,FALSE,NA,NA,{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,FALSE,FALSE,NA,'beer_and_wine',TRUE,u'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},FALSE,TRUE,NA,NA,{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Meat Shops, American (New), Burgers, Breakfast & Brunch, Specialty Food, Restaurants",8:30-20:0,8:30-20:0,8:30-20:0,8:30-20:0,8:30-20:0,9:0-20:0,9:0-20:0,,,,,,,,,,,,
80322,hwdWsUws6m2vrvfFz5TjQg,101 Property Mgmt,,Santa Barbara,CA,93121,34.42,-119.7,5,8,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Estate Services, Property Management, Real Estate, Home Services, Professional Services",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-13:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80335,l6ioOkbj97HQnfMLRR1b-g,Vish膩l Wellness,"924 Anacapa St, Ste 2A",Santa Barbara,CA,93101,34.42857,-119.71233,5,6,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health & Medical, Massage Therapy, Acupuncture, Active Life, Fitness & Instruction, Yoga, Traditional Chinese Medicine",9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-14:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80340,wfjqxgLSsLtyzswzQBziSw,Panino,834 Santa Barbara St,Santa Barbara,CA,93101,34.42269,-119.69798,4,165,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,NA,u'no',{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,'none',TRUE,'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,u'quiet',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Salad, Soup, Sandwiches, Breakfast & Brunch",10:30-16:0,10:30-16:0,10:30-16:0,10:30-16:0,10:30-16:0,10:30-16:0,11:0-15:0,,,,,,,,,,,,
80361,Z-YFiTtN2mG6ziA5UkRDbQ,Flooring 101 - Goleta,5970 Daley St,Goleta,CA,93117,34.43118,-119.83022,4,37,1,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carpeting, Home Services, Carpet Installation, Flooring",0:0-0:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-18:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80369,UapYEoW56wKcS_NVc_AGhA,Cold Spring Trail,E Mountain Dr,Santa Barbara,CA,93108,34.45222,-119.65354,4.5,23,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hiking, Active Life",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
80378,rk26A4yK2AL9nmWYSK4iLA,U.C.S.B Associated Students Bike Shop,Trailer 324,Santa Barbara,CA,93106,34.41441,-119.84934,4,10,1,FALSE,TRUE,NA,1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bike Repair/Maintenance, Shopping, Sporting Goods, Local Services, Active Life, Bikes, Community Service/Non-Profit",0:0-0:0,NA,10:0-16:0,NA,10:0-16:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80392,bSfDI69RkUrodsA1QwgnOg,Wildcat Lounge,15 W Ortega St,Santa Barbara,CA,93101,34.41814,-119.69843,3.5,288,1,NA,TRUE,TRUE,2,FALSE,NA,NA,NA,u'free',{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': False},TRUE,TRUE,TRUE,TRUE,NA,NA,'full_bar',NA,u'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False},NA,TRUE,NA,u'very_loud',NA,NA,u'outdoor',{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False},TRUE,NA,{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True},FALSE,NA,NA,NA,NA,NA,u'21plus',NA,"Dance Clubs, Nightlife, Bars",16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,,,,,
80397,JD4yd4N8HCDziaJKJXk2yA,Tori's Oatmeal Lounge,"555 Storke Rd, 3301",Goleta,CA,93117,34.42051,-119.87066,2.5,5,0,NA,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,'free',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,TRUE,TRUE,NA,'beer_and_wine',TRUE,u'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},TRUE,NA,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cafes, Restaurants",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,
80408,OCW1gs6Rjn90_x5EV0PuaA,Fox Wine,120 Santa Barbara St,Santa Barbara,CA,93101,34.41585,-119.68853,4.5,69,1,FALSE,TRUE,TRUE,2,NA,FALSE,NA,FALSE,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wine Bars, Arts & Entertainment, Wine Tasting Room, Nightlife, Bars, Food, Wineries",12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-22:0,12:0-22:0,12:0-20:0,,,,,,,,,,,,,,,,,
80436,ZtTfb4M-7A1QdHJlvv-yqg,Zuzu Candies,,Santa Barbara,CA,93101,34.42257,-119.70547,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Candy Stores, Chocolatiers & Shops, Specialty Food, Desserts",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80439,gLEUrKvFnu7EwUhlnloB0Q,Castle Refinishing,"5142 Hollister Ave, Ste 186",Santa Barbara,CA,93111,34.43495,-119.80361,3.5,5,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Home Services, Home & Garden, Contractors, Kitchen & Bath",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-15:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80502,mBx_1PfjCcjUsjSsUiwHHQ,Man And A Van,,Santa Barbara,CA,93101,34.42033,-119.71075,5,17,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Services, Packing Services, Couriers & Delivery Services, Movers, Home Services",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80540,zVUREIZqo-TjUFmltP5G8Q,Nortons Tree Care,,Santa Barbara,CA,93101,34.42033,-119.71075,4.5,8,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tree Services, Home Services",6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80570,p6sqeSJIpZ-ylXNdBp_ksw,Pacheco-Medina Dental Corporation,"601 E Arrellaga St, Ste 201",Santa Barbara,CA,93103,34.4341,-119.70263,3.5,9,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dentists, Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists",9:0-18:0,9:0-17:0,9:0-18:0,9:0-18:0,9:0-15:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80573,ijU7hEUbD1Nq7KKbi4nyeQ,I Bike Santa Barbara Wine Country Tours,113 Harbor Way,Santa Barbara,CA,93109,34.40376,-119.69427,5,79,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hotels & Travel, Wine Tours, Bike tours, Mountain Biking, Bike Rentals, Wineries, Arts & Entertainment, Tours, Food, Fitness & Instruction, Active Life",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80590,qFQhKOdLEEaoiMLEptxSmw,A & B Glass,717 E Gutierrez St,Santa Barbara,CA,93103,34.42384,-119.68607,4,25,1,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home & Garden, Automotive, Contractors, Windows Installation, Windshield Installation & Repair, Local Services, Kitchen & Bath, Auto Glass Services, Shopping, Building Supplies, Home Services, Glass & Mirrors",0:0-0:0,8:0-17:0,8:0-17:0,9:0-12:0,8:0-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80600,1OhRcOkS7FP85eoAtVzbmQ,Move Time,,Goleta,CA,93117,34.43583,-119.82764,5,8,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Junk Removal & Hauling, Local Services, Home Services, Movers",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-16:0,9:0-16:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80641,X7ID9zNDfPFX__e0g5FZ_g,Playa Life IV,6554 Pardall Rd,Goleta,CA,93117,34.41325,-119.85638,2.5,25,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Property Management, Home Services, Real Estate, Apartments, University Housing",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80764,x4wDzxcseHnCknl_mSBMNQ,Back To Balance Massage,918 Chapala St,Santa Barbara,CA,93101,34.42027,-119.70179,5,21,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,u'no',{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Massage, Health & Medical, Massage Therapy, Beauty & Spas",0:0-0:0,5:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,11:0-18:0,11:0-18:0,,,,,,,,,,,,,,,,,,,,,,,,,
80766,ao7mtyHSSl6Jq_vuIGC-UQ,Santa Barbara Electronics Supply,"1503 Cook Pl, Ste C",Santa Barbara,CA,93117,34.42997,-119.84423,5,9,1,NA,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronics, Local Services, Shopping, Electronics Repair",0:0-0:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-17:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
80802,qvXw3V4_9Pu4E7Qoi7-cKA,Fala Bar,"38 W Victoria St, Ste 108",Santa Barbara,CA,93101,34.42361,-119.70705,4.5,70,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,TRUE,u'free',{u'valet': False, u'garage': True, u'street': True, u'lot': True, u'validated': False},TRUE,NA,TRUE,TRUE,FALSE,TRUE,u'beer_and_wine',NA,NA,{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True},FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Restaurants, Vegan, Gluten-Free, Falafel, Mediterranean, Salad, Sandwiches",11:30-16:30,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:30,11:30-21:30,11:30-21:0,,,,,,,,,,,,,,,,,
80915,5xCKOr0_l0uQpF3av4IgHw,Rori's Artisanal Creamery,751 Linden Ave,Carpinteria,CA,93013,34.39741,-119.52058,4.5,65,1,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,u'average',NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caterers, Event Planning & Services, Ice Cream & Frozen Yogurt, Desserts, Food",13:0-20:0,13:0-20:0,13:0-20:0,13:0-20:0,12:0-18:0,12:0-18:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
80947,kGaPh3zNKalTjtDG69bcNQ,Infinite Beauty,"1805 E Cabrillo Blvd, Studio S",Santa Barbara,CA,93108,34.42184,-119.65675,5,8,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cosmetic Surgeons, Doctors, Eyebrow Services, Eyelash Service, Beauty & Spas, Health & Medical, Permanent Makeup, Tattoo, Waxing, Hair Removal",9:0-18:0,NA,15:0-18:0,9:0-18:0,15:0-18:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
81100,exjhxfST-F8ztZG-Z61j5g,Sheer Delights Lingerie,"422 N Milpas St, Ste 2",Santa Barbara,CA,93103,34.42617,-119.68457,5,5,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Women's Clothing, Accessories, Jewelry, Lingerie, Shopping",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,12:0-17:0,,,,,,,,,,,,,,,,,,,,,,,,,
81149,YvTstRvCUQNDf0eaiLJhNA,Petcentric,,Santa Barbara,CA,93105,34.42083,-119.69819,5,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pet Sitting, Pet Services, Pets, Dog Walkers",9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-14:0,9:0-12:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81162,eCnHSfwrco1Vs3m-iRcavw,Timber's Roadhouse,10 Winchester Canyon Rd,Goleta,CA,93117,34.43307,-119.89955,4,30,1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,{u'valet': False, u'garage': False, u'street': True, u'lot': None, u'validated': False},NA,NA,TRUE,TRUE,TRUE,NA,u'full_bar',NA,u'casual',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None},TRUE,TRUE,TRUE,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, American (Traditional), Barbeque, Steakhouses, Sandwiches",NA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,,,,,,,,,,,,,,,,,
81249,33EdzAoT17AMgu7Uzvwz_A,United Drain & Sewer Service,3857 Pemm Pl,Santa Barbara,CA,93110,34.45029,-119.74914,5,18,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contractors, Plumbing, Home Services",8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81266,wNdJWEypVij2Ho7ZVJYKzw,Traveling Pants,"929 Linden Ave, Ste E",Carpinteria,CA,93013,34.39864,-119.51899,4.5,7,1,NA,TRUE,TRUE,1,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby Gear & Furniture, Used, Vintage & Consignment, Shopping, Toy Stores, Fashion, Children's Clothing",0:0-0:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
81271,#NAME?,Uptown Bar & Lounge,3126 State St,Santa Barbara,CA,93105,34.44061,-119.73218,4,138,1,NA,TRUE,TRUE,2,NA,TRUE,None,FALSE,'free',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,u'full_bar',FALSE,u'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True},TRUE,TRUE,NA,'loud',{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': None, 'brunch': False, 'breakfast': False},FALSE,u'outdoor',{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': True, 'live': True, 'video': False, 'karaoke': False},FALSE,NA,{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False},NA,NA,NA,NA,NA,NA,NA,NA,"Lounges, Karaoke, American (New), Mexican, Sports Bars, Tacos, Restaurants, Pizza, Bars, Nightlife, Food, Beer, Wine & Spirits",0:0-0:0,15:0-23:0,15:0-23:0,15:0-23:0,15:0-1:0,12:0-1:0,12:0-23:0
